Feature1,Feature2,Feature3,Feature4,CardType_Elite,CardType_Platinum,CardType_Smart Cash,CardType_True Line,CardType_True Line Gold,score,Month
0.9388299319727892,0.0,899.2000000000007,0.0,1,0.0,0.0,0,0,0.1139,2/28/2019
-0.001428571,0.0,7010.0,0.0,0,0.0,1.0,0,0,0.0057,2/28/2019
0.935023448,0.0,942.16,11.47,0,0.0,1.0,0,0,0.3759,2/28/2019
0.253644,0.0,11195.34,3.7,1,0.0,0.0,0,0,0.0307,2/28/2019
0.019417094017094,1.0,11472.82,0.0,0,1.0,0.0,0,0,0.1905,2/28/2019
0.9896,0.0,208.0,0.0,1,0.0,0.0,0,0,0.2713,2/28/2019
0.5924281818181818,1.0,4483.29,110.77,0,0.0,0.0,1,0,0.6344,2/28/2019
-0.008597638,0.0,12809.19,0.0,1,0.0,0.0,0,0,0.0183,2/28/2019
0.00797,1.0,5952.18,0.0,0,1.0,0.0,0,0,0.0223,2/28/2019
-0.101556771,0.0,21149.89,0.0,0,0.0,1.0,0,0,0.0107,2/28/2019
0.9478599078341016,0.0,1131.4399999999987,17.29,0,0.0,1.0,0,0,0.2019,2/28/2019
0.081947368,1.0,8721.5,0.0,0,0.0,1.0,0,0,0.0488,2/28/2019
0.0310185714285714,1.0,13565.74,0.0,0,0.0,0.0,1,0,0.1048,2/28/2019
0.0,,3000.0,0.0,0,1.0,0.0,0,0,0.1357,2/28/2019
0.087214286,1.0,3194.75,0.18,0,0.0,1.0,0,0,0.3257,2/28/2019
0.0,,5000.0,0.0,0,0.0,0.0,0,1,0.1298,2/28/2019
0.5938310344827585,0.3986516540755237,5889.450000000003,48.78,0,0.0,0.0,0,1,0.2725,2/28/2019
0.157648,1.0,8423.52,0.0,0,0.0,1.0,0,0,0.1236,2/28/2019
0.9844163333333332,2.370270844077149e-05,467.5099999999984,12.49,1,0.0,0.0,0,0,0.2682,2/28/2019
-0.00697,0.0,19132.43,0.0,0,0.0,1.0,0,0,0.0045,2/28/2019
0.2406290476190477,1.0,15946.79,0.0,0,0.0,0.0,1,0,0.0187,2/28/2019
